2024-12-11 18:30:14,114 INFO    MainThread:434356 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_setup.py:_flush():68] Configure stats pid to 434356
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_setup.py:_flush():68] Loading settings from /home/ganesh/.config/wandb/settings
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_setup.py:_flush():68] Loading settings from /mnt/ss/text_based_implementation/wandb/settings
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_init.py:_log_setup():528] Logging user logs to /mnt/ss/text_based_implementation/wandb/run-20241211_183014-pn5aatnn/logs/debug.log
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_init.py:_log_setup():529] Logging internal logs to /mnt/ss/text_based_implementation/wandb/run-20241211_183014-pn5aatnn/logs/debug-internal.log
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_init.py:init():639] calling init triggers
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_init.py:init():645] wandb.init called with sweep_config: {}
config: {}
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_init.py:init():688] starting backend
2024-12-11 18:30:14,115 INFO    MainThread:434356 [wandb_init.py:init():692] sending inform_init request
2024-12-11 18:30:14,127 INFO    MainThread:434356 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-11 18:30:14,127 INFO    MainThread:434356 [wandb_init.py:init():705] backend started and connected
2024-12-11 18:30:14,129 INFO    MainThread:434356 [wandb_init.py:init():798] updated telemetry
2024-12-11 18:30:14,135 INFO    MainThread:434356 [wandb_init.py:init():830] communicating run to backend with 90.0 second timeout
2024-12-11 18:30:18,085 INFO    MainThread:434356 [wandb_init.py:init():882] starting run threads in backend
2024-12-11 18:30:18,151 INFO    MainThread:434356 [wandb_run.py:_console_start():2443] atexit reg
2024-12-11 18:30:18,151 INFO    MainThread:434356 [wandb_run.py:_redirect():2293] redirect: wrap_raw
2024-12-11 18:30:18,151 INFO    MainThread:434356 [wandb_run.py:_redirect():2358] Wrapping output streams.
2024-12-11 18:30:18,151 INFO    MainThread:434356 [wandb_run.py:_redirect():2383] Redirects installed.
2024-12-11 18:30:18,153 INFO    MainThread:434356 [wandb_init.py:init():925] run started, returning control to user process
