Some weights of GPT2ForSequenceClassification were not initialized from the model checkpoint at gpt2 and are newly initialized: ['score.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/ganesh/miniconda3/envs/tangent-arithmetic/lib/python3.10/site-packages/peft/tuners/lora/layer.py:1264: UserWarning: fan_in_fan_out is set to False but the target module is `Conv1D`. Setting fan_in_fan_out to True.
  warnings.warn(
Using LoRA. Total trainable parameters: 296448
                                                   
{'loss': 0.8674, 'grad_norm': 32.5885009765625, 'learning_rate': 4.9263657957244656e-05, 'epoch': 0.05}
{'loss': 0.7092, 'grad_norm': 67.60684204101562, 'learning_rate': 4.8471892319873316e-05, 'epoch': 0.1}
{'loss': 0.6774, 'grad_norm': 21.147581100463867, 'learning_rate': 4.7680126682501977e-05, 'epoch': 0.14}
{'loss': 0.6367, 'grad_norm': 4.738124847412109, 'learning_rate': 4.6888361045130644e-05, 'epoch': 0.19}
{'loss': 0.534, 'grad_norm': 15.134398460388184, 'learning_rate': 4.609659540775931e-05, 'epoch': 0.24}
{'loss': 0.4361, 'grad_norm': 14.185014724731445, 'learning_rate': 4.530482977038797e-05, 'epoch': 0.29}
{'loss': 0.4104, 'grad_norm': 12.069375991821289, 'learning_rate': 4.451306413301663e-05, 'epoch': 0.33}
{'loss': 0.3864, 'grad_norm': 7.267355918884277, 'learning_rate': 4.372129849564529e-05, 'epoch': 0.38}
{'loss': 0.3879, 'grad_norm': 4.698040962219238, 'learning_rate': 4.292953285827395e-05, 'epoch': 0.43}
{'loss': 0.3691, 'grad_norm': 4.223763465881348, 'learning_rate': 4.213776722090261e-05, 'epoch': 0.48}
{'loss': 0.3638, 'grad_norm': 16.332616806030273, 'learning_rate': 4.134600158353127e-05, 'epoch': 0.52}
{'loss': 0.3558, 'grad_norm': 30.808374404907227, 'learning_rate': 4.055423594615994e-05, 'epoch': 0.57}
{'loss': 0.359, 'grad_norm': 10.5916748046875, 'learning_rate': 3.97624703087886e-05, 'epoch': 0.62}
{'loss': 0.3607, 'grad_norm': 6.70589542388916, 'learning_rate': 3.897070467141726e-05, 'epoch': 0.67}
{'loss': 0.3652, 'grad_norm': 19.952184677124023, 'learning_rate': 3.817893903404592e-05, 'epoch': 0.71}
{'loss': 0.3654, 'grad_norm': 14.088363647460938, 'learning_rate': 3.738717339667458e-05, 'epoch': 0.76}
{'loss': 0.3628, 'grad_norm': 21.031423568725586, 'learning_rate': 3.659540775930325e-05, 'epoch': 0.81}
{'loss': 0.3532, 'grad_norm': 13.152816772460938, 'learning_rate': 3.580364212193191e-05, 'epoch': 0.86}
{'loss': 0.3416, 'grad_norm': 35.25700378417969, 'learning_rate': 3.5011876484560577e-05, 'epoch': 0.9}
{'loss': 0.3368, 'grad_norm': 28.720924377441406, 'learning_rate': 3.422011084718924e-05, 'epoch': 0.95}
{'loss': 0.349, 'grad_norm': 4.034364700317383, 'learning_rate': 3.34283452098179e-05, 'epoch': 1.0}
{'loss': 0.3558, 'grad_norm': 8.846940040588379, 'learning_rate': 3.263657957244656e-05, 'epoch': 1.05}
{'loss': 0.3317, 'grad_norm': 17.12041664123535, 'learning_rate': 3.184481393507522e-05, 'epoch': 1.09}
{'loss': 0.325, 'grad_norm': 4.036837577819824, 'learning_rate': 3.105304829770388e-05, 'epoch': 1.14}
{'loss': 0.3587, 'grad_norm': 4.926634788513184, 'learning_rate': 3.0261282660332542e-05, 'epoch': 1.19}
{'loss': 0.3501, 'grad_norm': 5.25123929977417, 'learning_rate': 2.9469517022961206e-05, 'epoch': 1.24}
{'loss': 0.3445, 'grad_norm': 6.948296070098877, 'learning_rate': 2.867775138558987e-05, 'epoch': 1.28}
{'loss': 0.341, 'grad_norm': 5.180524826049805, 'learning_rate': 2.788598574821853e-05, 'epoch': 1.33}
{'loss': 0.3326, 'grad_norm': 8.090071678161621, 'learning_rate': 2.709422011084719e-05, 'epoch': 1.38}
{'loss': 0.31, 'grad_norm': 22.62454605102539, 'learning_rate': 2.630245447347585e-05, 'epoch': 1.43}
{'loss': 0.3394, 'grad_norm': 8.635835647583008, 'learning_rate': 2.551068883610451e-05, 'epoch': 1.47}
